Asset,Total Count
bzx-protocol,0.000108973
usd-coin,473.899839
ethereum,165.0155717
feg-token,4.12E+11
pickle-finance,20982.84952
xen-crypto,9684.457063
usd-coin,11410.51935
staked-ether,1.00E-18
liquid-staking-derivative,3488.906436
lido-dao,47.4473312
tokenize-xchange,0.00010605
wrapped-steth,0.440820431
noisegpt,1712.301215
unidex,5.421614426
yvyfi-0xe14d13d8b3b85af791b2aadd661cdbd5e6097db1,0.082226552
pop-chest-token,68859.35
kanagawa-nami,250000
hoppy-token,4.22E+11
dejitaru-tsuka,77223.8195
lp-3pool-curve,1275586.01
curve-dao-token,26200.66803
mononoke-inu,360
shiba-inu,52154174.31
zombie-inu-2,7937.8175
tether,12026.47467
bezoge-earth,1.05E+11
dogegf,725261.6393
asap-sniper-bot,3698020.26
piccolo-inu,37077069992
haki-token,0.04014389
dai,7257.352598
weth,27.15967562
uniswap,405.6780023
concentrated-voting-power,0.001146022
ethlend,0.002311658
maker,0.020154459
yearn-finance,0.00047158
compound-governance-token,43.02008413
havven,2.34197369
wrapped-nxm,3.21E-05
wrapped-fantom,641.872978
kondux-v2,11392
metavisa,2000000000
pnetwork,32078.08269
0xa3d87fffce63b53e0d54faa1cc983b7eb0b74a9c,0.0045859
alchemix,0.161200357
liquity-usd,0.1
liquity,66206.79457
ripio-credit-network,6.00E-18
convex-finance,1625.707069
marvin-inu,82564591
convex-crv,111263.7574
magic-internet-money,0.125137598
wrapped-bitcoin,0.00379368
sushi,15.43238124
blocks,225884.0939
uni-bac-dai-0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd,4.45E-14
matic-network,27.90294583
crypto-com-chain,4286.869944
totoro-inu,3.45E+13
quant,0.151774982
odyssey,6
shiba-nodes,26292285.49
mondo-community-coin,79006.015
dforce-token,0.022859718
republic-protocol,16034.91188
binance-usd,10.7534606
chainlink,339.2855479
nusd,10.48626622
trueusd,9.526324746
basic-attention-token,44.7629082
kyber-network,10.9709758
0x,34.96582647
decentraland,144.6656583
ethereum,843.738
landwolf,31873.41371
uma,763.1012653
omisego,65.868
stats,882.6934144
interest-bearing-eth,1.00E-18
konomi-network,4862.879335
compound-usd-coin,18219.01805
zeniq,1.49184778
snibbu,11036.70386
coinmerge-os,205771
cult-dao,1743000
havoc,84198606.79
marutaro,944781.1104
amaterasu-omikami,369
boringdao,97880.39729
maximus-dao,2000
upcx,1
jasmycoin,115.9133872
ankr,549.364307
paxos-standard-token,10.14558049
kishu-inu,2.21E+11
saitama-inu,216151.3043
jackbot,6000000
nft-protocol,200
cdai,2.00E-08
vinlink,46457197.4
chew,6428171.657
defi-robot,451550.9371
truefi,1.61757266
shih-tzu,1.25E+14
givewell-inu,2628357.847
shibaken-finance,11591706
luckyinu,3.58E+11
messi-coin,42208.37026
old-bitcoin,2514.061986
chainback,92001.30388
ccomp,1532.800077
hikari-protocol,227723.8593
0x410e3e86ef427e30b9235497143881f717d93c2a,0.022256672
0x5b5cfe992adac0c9d48e05854b2d91c73a003858,5032.234013
0x94e131324b6054c0d789b190b2dac504e4361b53,223177.8753
