Asset,Total Count
matic-network,0.03
binance-coin,52.13959239
reboot,10.32071839
open-dollar-governance,1.686305578
staked-ageur,19.4878479
xpet-tech,123.7085144
oath,375.9476207
hamachi-finance,380575.6658
cap,0.276305556
rodeo-finance,1785.58289
silo-finance,269.5715154
balancer,0.023072223
unlimited-network-token,35.40630737
yuri,15950659.68
aave-v3-wbtc,0.00010259
lyra-finance,78.26490088
arbipad,12953.64834
govi,34.36161962
synapse-2,6.75E-07
vela-token,388.2573672
bonk,2021922.317
arbdoge-ai,3.45E+11
bonzai-depin,8.226163623
unsheth-unsheth,0.013225016
sector,3.478850612
opulous,5.332617148
pendle,1381.505786
checkdot,0.342242136
aienglish,7338198577
hundred-finance,0.021126242
jones-dao,62.13062805
aurory,614.7071613
curve-dao-token,4.366455106
spartadex,0.074144747
tarot-2,106.1840411
boop-2,5805515.968
lido-dao,4.792745872
relay-token,75.11635544
firepot-finance,0.188093588
seneca,6303.704959
arbidoge,226757960.9
metavault-dao,0.070103722
chronos-finance,257.8601662
umami-finance,10.95393168
zoodao,6.247336738
good-entry,12971.41998
frax-ether,0.000489095
possum,38.18502812
frax,9.926080934
perpy-finance,7057.432434
gains-network,45.3680767
aave-v3-link,0.025585781
compounded-marinated-umami,0.095855266
ibuffer-token,143.9368622
aicore,0.143051435
alphascan,22.73753141
ztx,5280.182051
rekt-04bbe51a-e290-450a-afb5-b2b43b80b20e,88443529.96
lumi-finance-luausd,0.483572519
coinbase-wrapped-staked-eth,0.001045825
funny-coin,3.128322226
ether-wars,4.221230593
mozaic,10797.7476
deri-protocol,15.96241421
bitcoin-avalanche-bridged-btc-b,0.00042606
axelar,11.795441
renzo-restaked-eth,0.003836355
moon,8.33011524
modular-wallet,456.4139129
any-inu,119998.0233
pepe,10313474.18
my-metatrader,90.67215654
dfx-finance,7.86E-08
boo-2,140179.0616
livepeer,0.885021336
atlas-aggregator,0.147231276
acid,0.084829483
arbitrumpad,4.506137006
penpie,2095.629528
layer2dao,255.3301189
aeggs,6.95E-13
maker,0.00084722
gdx-token,1.628754438
wrapped-bitcoin,0.06376565
radiant-capital,209.0756204
xend-finance,141.6093373
yieldification,9751.876525
wrapped-staked-link,0.109056402
oreoswap,0.000804352
cartesi,0.000436205
poison-finance,108.7685263
monopoly-layer2-duo,76.19287265
verified-usd-foundation-usdv,2.83535
florence-finance-medici,3292.394453
strips-finance,0.008656685
balancer-80-rdnt-20-weth,0.14600349
dopex-rebate-token,126.5576423
hydranet,11.56018433
dizzyhavoc,9891.213747
ipor,3.336242411
sundae-the-dog,1.624862182
compound-governance-token,0.01924253
wrapped-eeth,0.040569926
joe,263.1992268
kujira,0.126873
tigris,24.02651099
celer-network,13.81857792
zyberswap,71.13394122
milady-meme-coin,14617495.51
unitus-2,34.72669023
camelot-token,0.25361299
spell-token,978.1147453
mai-arbitrum,1.47461358
the-ennead,645.85337
volta-protocol,126.0517799
gnomeland,3650.470211
hegic,2804.832451
savvy-defi,1.708506235
battle-pets,6.052076515
glend,295.6411375
the-doge-nft,19.08413049
army-of-fortune-metaverse,222874
adv3nture-xyz-gemstone,0.48083174
solidlizard,3.523632922
loopring,0.142622305
gmd-protocol,0.802423814
crvusd,0.873256261
alongside-crypto-market-index,1.18E-06
lsdoge,2781010196
xai-blockchain,184.7775469
fluid-usdc,50.011128
bridged-trueusd,0.512863107
mcdex,8.988511854
petroleum-oil,0.022478372
xblue-finance,0.197136966
avive,3.999493195
plutusdao,1760.994396
wombex,376.1882333
unsheth,1456.107432
nftearth,0.298276228
premia,0.013887001
across-protocol,78.01198195
magic,870.7168385
kabosu-arbitrum,0.073678739
unidex,0.339135036
radpie,347.3746081
sperax,5225.153103
kromatika,42.48121618
seedify-fund,12.94969919
impermax-2,28.92682742
neptune-mutual,2422.352043
gameswift,48.30969765
gyen,0.040862
connext,22.41956176
fuzz-finance,0.788942013
wrapped-steth,1.470787857
genomesdao,11187.51394
sterling-finance,0.000315356
tridentdao,49.4205547
army-of-fortune-gem,34.44644741
apex-token-2,21.03766559
aave-v3-usdc-e,26.885744
ngt,0.374742379
token-dforce-usd,0.013667855
vesta-stable,0.771913637
the-standard-euro,23.12518641
lilai,3694.735343
y2k,47.78498345
uranium3o8,0.000564328
neutra-finance,59.59212222
tarot,321.7707915
stargate-finance,21.81601199
alienfi,2.997229251
dodo,1.464656034
dola-usd,7.337008917
jarvis-reward-token,0.047136784
aave-v3-usdt,38.163464
fuse-network-token,12.59247
lexer-markets,10300.42695
dopex,11.62351985
tbtc,3.00E-08
xpet-tech-bpet,162.1167286
plutus-rdnt,1.26E-11
factor,101.8069582
connect-financial,0.232343777
gas-turbo,0.1
artichoke,2779.148545
pogai,156086.4274
jones-glp,20.96127203
grimace,0.000279867
gnome,122.905265
traderdao-proof-of-trade,9.85E+15
empyreal,3.626318618
banana-coin,3572526624
plutus-arb,117.756984
wombat-exchange,1007.76847
openleverage,0.035284934
ai-code,10.16035977
0xbtc,0.01772747
stacktical,267.8988429
risitas,8808.594864
stfx,44.5340404
peper,19343665.28
arcadeum,328.5774041
yield-yak,0.002634746
numa,34.5363836
granary,68.70566774
liquiddriver,15.03813776
weth,3.971753475
aave-v3-dai,0.097246649
hmx,5.407014561
urdex-finance,819.4271322
black-rabbit-ai,4.045090485
handleusd,16.05589861
bamboo-token-c90b31ff-8355-41d6-a495-2b16418524c2,2.10E-17
equation,0.076906251
acryptos-2,0.604406304
altitude,3006.955014
grai,20.56853359
chunks,154.7851933
dream-machine-token,15.17837123
goldenboys,0.032311213
governance-ohm,0.011425996
liondex,76.26788808
davos-protocol,0.002055
nitroshiba,3792.293713
arbitrum,5993.298035
blobcoin,9017.274313
xcad-network,0.119830268
size-2,276422.2313
liquity-usd,47.70960848
liquid-finance,0.013212959
eclipse-fi,3087.885593
archi-token,51.5314972
betswirl,3289.821102
wrapped-usdr,9.707479234
vertex-protocol,163.9078282
leverageinu,2.234265036
staked-frax-ether,0.000376553
the-graph,21.12219147
pickle-finance,9.42E-09
nitro-cartel,242.6806813
kobe,422023.6609
beefy-finance,0.086482652
math,0.079545576
legends-token,32987.55807
frax-share,0.771284002
ifarm,7.95E-06
omnicat,346751.5281
smolcoin,18521076.07
symbiosis-finance,4.30375759
the-bet,0.093082844
reunit-wallet,74.887121
ferrum-network,0.002341024
gnosis-gno,6.20E-11
lybra-finance,9.8012236
goons-of-balatroon,3851.986318
ethos-reserve-note,29.74893127
kommunitas,610.5804349
magpie,203.9997139
vesta-finance,341.3786777
biconomy,0.651322724
tracer-dao,0.109256387
ramses-exchange,856.0398971
yieldfarming-index,74.3688256
forge,2.63E-05
wicrypt,218.3743833
noisegpt,2231.290649
ichi-farm,0.935688024
dforce-token,132.1110173
arken-finance,376.4312741
usd-coin,1835.73692
vaultka,192.6167473
jpg-nft-index,6.47E-06
a3s,0.002343267
fenglvziv2,50000
hord,0.36304188
mind-games-cortex,0.004149817
taikula-coin,892700.3476
0xb299751b088336e165da313c33e3195b8c6663a6_ethereum,47.13075696
alt-markets,741.813147
hold-vip,1096022.553
maw,157.3518019
torque,402887.9498
unstoppable-defi,143.8360563
level,214.5238025
mpendle,10.90109413
rocket-pool,0.145266138
abachi-2,0.166724908
bullbear-ai,45288523753
paribus,1417.665466
mizar,3830.216516
sweth,0.0016253
quick-intel,360.381436
equilibria-finance,106.0798008
osaka-protocol,7136548.719
creda,0.024057418
preon-star,0.105753115
post-tech,0.000730919
dxdao,1.07E-11
adventurer-gold,0.03271175
hop-protocol,183.0706556
flash-stake,487.4849867
mycelium,389.7909502
arbiten-10share,0.00130911
parallax,37.88856747
dao-maker,0.032408628
woo-network,142.5974774
exponential-capital-2,2676.522817
fore-protocol,201.809508
anima,12.08617276
