JSON File,Asset,Total Count,Total Value (USD)
filter_reentrancy.json,0chain,10,1.58
filter_operateBlocknumber.json,0x,39.62164621,22.74
filter_const-address.json,0x,34.96582647,4.93
filter_reentrancy.json,0x,0.032471725,25.77
filter_constant-chainID.json,0x,7.581646207,0.02
filter_const-address.json,0x410e3e86ef427e30b9235497143881f717d93c2a,0.022256672,0
filter_const-address.json,0x5b5cfe992adac0c9d48e05854b2d91c73a003858,5032.234013,0
filter_const-address.json,0x94e131324b6054c0d789b190b2dac504e4361b53,223177.8753,0
filter_const-address.json,0xa3d87fffce63b53e0d54faa1cc983b7eb0b74a9c,0.0045859,0
filter_constant-chainID.json,0xbtc,2.59799999,0.3
filter_reentrancy.json,0xbtc,1071.388698,122.66
filter_const-address.json,0xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf,12.212829,0
filter_const-address.json,0xde5331ac4b3630f94853ff322b66407e0d6331e8,0.087500016,0
filter_operateBlocknumber.json,1inch,26.6994376,15.82
filter_constant-chainID.json,1inch,29.1817994,14.48
filter_operateBlocknumber.json,aave,0.119226816,13.59
filter_constBlocknumber.json,aave-usdc-v1,5.50E-05,0
filter_reentrancy.json,acent,45,0.39
filter_reentrancy.json,aelf,19.13235858,1.73
filter_constant-chainID.json,aelf,3,11.01
filter_reentrancy.json,aeternity,209.9916,7.77
filter_constant-chainID.json,aeternity,209.9916,7.77
filter_operateBlocknumber.json,ageur,3.51E-14,0
filter_operateBlocknumber.json,agrello-delta,14.13454338,0
filter_reentrancy.json,agrello-delta,14.13454338,0
filter_constant-chainID.json,agrello-delta,14.13454338,0
filter_operateBlocknumber.json,airtor-protocol,171956.2008,519307.73
filter_reentrancy.json,ai-x,1.02E+12,0
filter_gasleft.json,,0,687.91
filter_operateBlocknumber.json,akita-inu,2866278904,12577.63
filter_operateBlocknumber.json,aladdin-dao,197327.1833,4.88
filter_const-address.json,alchemix,0.161200357,12706.06
filter_reentrancy.json,all-in,8643.576632,1.68
filter_constBlocknumber.json,alpha-quark-token,1,247.11
filter_reentrancy.json,alpha-quark-token,147.0896957,0.75
filter_reentrancy.json,amaterasu-omikami,369,0.75
filter_operateBlocknumber.json,,0,0
filter_const-address.json,amaterasu-omikami,369,31.26
filter_reentrancy.json,american-shiba,8.20E+13,30.81
filter_operateBlocknumber.json,ankr,541.3469689,62.07
filter_reentrancy.json,ankr,1090.711276,57203674.16
filter_const-address.json,ankr,549.364307,57190758.88
filter_constBlocknumber.json,apex-token-2,17710115.84,202077460.9
filter_const-address.json,,0,0.04
filter_operateBlocknumber.json,apex-token-2,17706117.3,611298.83
filter_constBlocknumber.json,api3,61699341.24,1403.07
filter_operateBlocknumber.json,apm-coin,5,0.37
filter_operateBlocknumber.json,arpa,7029170.415,122819.55
filter_const-address.json,asap-sniper-bot,3698020.26,2.62
filter_reentrancy.json,atari,150,0.01
filter_reentrancy.json,auctus,92599650,0
filter_operateBlocknumber.json,audius,10,0
filter_operateBlocknumber.json,aura-bal,0.00112419,0
filter_operateBlocknumber.json,aura-finance,0.00581427,0
filter_constant-chainID.json,aurora,15,0
filter_reentrancy.json,aurora,24,50679.13
filter_operateBlocknumber.json,aurora,5,0.78
filter_constBlocknumber.json,aurora,10,827.11
filter_reentrancy.json,axl-inu,1747556083,0
filter_operateBlocknumber.json,azuki,300,3508.55
filter_const-address.json,,0,0
filter_operateBlocknumber.json,b20,8195.255592,2.34
filter_reentrancy.json,baby-doge-coin,11455451064,0
filter_operateBlocknumber.json,balancer,760.7272025,0
