JSON File,Asset,Total Count
filter_gasleft.json,matic-network,0.03
filter_const-address.json,binance-coin,52.13959239
filter_const-address.json,reboot,10.32071839
filter_const-address.json,open-dollar-governance,1.686305578
filter_const-address.json,staked-ageur,19.4878479
filter_const-address.json,xpet-tech,123.7085144
filter_const-address.json,oath,375.9476207
filter_const-address.json,hamachi-finance,380575.6658
filter_const-address.json,cap,0.276305556
filter_const-address.json,rodeo-finance,1785.58289
filter_const-address.json,silo-finance,269.5715154
filter_const-address.json,balancer,0.023072223
filter_const-address.json,unlimited-network-token,35.40630737
filter_const-address.json,yuri,15950659.68
filter_const-address.json,aave-v3-wbtc,0.00010259
filter_const-address.json,lyra-finance,78.26490088
filter_const-address.json,arbipad,12953.64834
filter_const-address.json,govi,34.36161962
filter_const-address.json,synapse-2,6.75E-07
filter_const-address.json,vela-token,388.2573672
filter_const-address.json,bonk,2021922.317
filter_const-address.json,arbdoge-ai,3.45E+11
filter_const-address.json,bonzai-depin,8.226163623
filter_const-address.json,unsheth-unsheth,0.013225016
filter_const-address.json,sector,3.478850612
filter_const-address.json,opulous,5.332617148
filter_const-address.json,pendle,1381.505786
filter_const-address.json,checkdot,0.342242136
filter_const-address.json,aienglish,7338198577
filter_const-address.json,hundred-finance,0.021126242
filter_const-address.json,jones-dao,62.13062805
filter_const-address.json,aurory,614.7071613
filter_const-address.json,curve-dao-token,4.366455106
filter_const-address.json,spartadex,0.074144747
filter_const-address.json,tarot-2,106.1840411
filter_const-address.json,boop-2,5805515.968
filter_const-address.json,lido-dao,4.792745872
filter_const-address.json,relay-token,75.11635544
filter_const-address.json,firepot-finance,0.188093588
filter_const-address.json,seneca,6303.704959
filter_const-address.json,arbidoge,226757960.9
filter_const-address.json,metavault-dao,0.070103722
filter_const-address.json,chronos-finance,257.8601662
filter_const-address.json,umami-finance,10.95393168
filter_const-address.json,zoodao,6.247336738
filter_const-address.json,good-entry,12971.41998
filter_const-address.json,frax-ether,0.000489095
filter_const-address.json,possum,38.18502812
filter_const-address.json,frax,9.926080934
filter_const-address.json,perpy-finance,7057.432434
filter_const-address.json,gains-network,45.3680767
filter_const-address.json,aave-v3-link,0.025585781
filter_const-address.json,compounded-marinated-umami,0.095855266
filter_const-address.json,ibuffer-token,143.9368622
filter_const-address.json,aicore,0.143051435
filter_const-address.json,alphascan,22.73753141
filter_const-address.json,ztx,5280.182051
filter_const-address.json,rekt-04bbe51a-e290-450a-afb5-b2b43b80b20e,88443529.96
filter_const-address.json,lumi-finance-luausd,0.483572519
filter_const-address.json,coinbase-wrapped-staked-eth,0.001045825
filter_const-address.json,funny-coin,3.128322226
filter_const-address.json,ether-wars,4.221230593
filter_const-address.json,mozaic,10797.7476
filter_const-address.json,deri-protocol,15.96241421
filter_const-address.json,bitcoin-avalanche-bridged-btc-b,0.00042606
filter_const-address.json,axelar,11.795441
filter_const-address.json,renzo-restaked-eth,0.003836355
filter_const-address.json,moon,8.33011524
filter_const-address.json,modular-wallet,456.4139129
filter_const-address.json,any-inu,119998.0233
filter_const-address.json,pepe,10313474.18
filter_const-address.json,my-metatrader,90.67215654
filter_const-address.json,dfx-finance,7.86E-08
filter_const-address.json,boo-2,140179.0616
filter_const-address.json,livepeer,0.885021336
filter_const-address.json,atlas-aggregator,0.147231276
filter_const-address.json,acid,0.084829483
filter_const-address.json,arbitrumpad,4.506137006
filter_const-address.json,penpie,2095.629528
filter_const-address.json,layer2dao,255.3301189
filter_const-address.json,aeggs,6.95E-13
filter_const-address.json,maker,0.00084722
filter_const-address.json,gdx-token,1.628754438
filter_const-address.json,wrapped-bitcoin,0.06376565
filter_const-address.json,radiant-capital,209.0756204
filter_const-address.json,xend-finance,141.6093373
filter_const-address.json,yieldification,9751.876525
filter_const-address.json,wrapped-staked-link,0.109056402
filter_const-address.json,oreoswap,0.000804352
filter_const-address.json,cartesi,0.000436205
filter_const-address.json,poison-finance,108.7685263
filter_const-address.json,monopoly-layer2-duo,76.19287265
filter_const-address.json,verified-usd-foundation-usdv,2.83535
filter_const-address.json,florence-finance-medici,3292.394453
filter_const-address.json,strips-finance,0.008656685
filter_const-address.json,balancer-80-rdnt-20-weth,0.14600349
filter_const-address.json,dopex-rebate-token,126.5576423
filter_const-address.json,hydranet,11.56018433
filter_const-address.json,dizzyhavoc,9891.213747
filter_const-address.json,ipor,3.336242411
filter_const-address.json,sundae-the-dog,1.624862182
filter_const-address.json,compound-governance-token,0.01924253
filter_const-address.json,wrapped-eeth,0.040569926
filter_const-address.json,joe,263.1992268
filter_const-address.json,kujira,0.126873
filter_const-address.json,tigris,24.02651099
filter_const-address.json,celer-network,13.81857792
filter_const-address.json,zyberswap,71.13394122
filter_const-address.json,milady-meme-coin,14617495.51
filter_const-address.json,unitus-2,34.72669023
filter_const-address.json,camelot-token,0.25361299
filter_const-address.json,spell-token,978.1147453
filter_const-address.json,mai-arbitrum,1.47461358
filter_const-address.json,the-ennead,645.85337
filter_const-address.json,volta-protocol,126.0517799
filter_const-address.json,gnomeland,3650.470211
filter_const-address.json,hegic,2804.832451
filter_const-address.json,savvy-defi,1.708506235
filter_const-address.json,battle-pets,6.052076515
filter_const-address.json,glend,295.6411375
filter_const-address.json,the-doge-nft,19.08413049
filter_const-address.json,army-of-fortune-metaverse,222874
filter_const-address.json,adv3nture-xyz-gemstone,0.48083174
filter_const-address.json,solidlizard,3.523632922
filter_const-address.json,loopring,0.142622305
filter_const-address.json,gmd-protocol,0.802423814
filter_const-address.json,crvusd,0.873256261
filter_const-address.json,alongside-crypto-market-index,1.18E-06
filter_const-address.json,lsdoge,2781010196
filter_const-address.json,xai-blockchain,184.7775469
filter_const-address.json,fluid-usdc,50.011128
filter_const-address.json,bridged-trueusd,0.512863107
filter_const-address.json,mcdex,8.988511854
filter_const-address.json,petroleum-oil,0.022478372
filter_const-address.json,xblue-finance,0.197136966
filter_const-address.json,avive,3.999493195
filter_const-address.json,plutusdao,1760.994396
filter_const-address.json,wombex,376.1882333
filter_const-address.json,unsheth,1456.107432
filter_const-address.json,nftearth,0.298276228
filter_const-address.json,premia,0.013887001
filter_const-address.json,across-protocol,78.01198195
filter_const-address.json,magic,870.7168385
filter_const-address.json,kabosu-arbitrum,0.073678739
filter_const-address.json,unidex,0.339135036
filter_const-address.json,radpie,347.3746081
filter_const-address.json,sperax,5225.153103
