,Total_Contract,Total_Function,Total_Variable,Total_Internal_Call,Max_Cyclomatic_Complexity,Loc,sLoc,cLoc
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/ea/ea7a7bc3ba38b2569b6bee8dcd8acb4218c08716_ControllerProxy.sol,6,24,18,22,2,135,100,12
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/89/896d335daf43b01931bcacaa4cb24fc5e095cea2_Controller.sol,12,53,43,44,3,314,207,52
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/98/98874c6d3f4ca36d8f285ae5045617c51660a548_DBTC.sol,4,34,54,35,16,512,395,31
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/70/70c7e1E865a68C3452b85517727ceae54509820d_UpkeepCounterAkshay.sol,1,7,14,5,3,88,76,1
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/8b/8b38C0Db59DCC90293B66C72CfE39561f025aF4A_Wallet.sol,12,53,44,45,3,333,214,60
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/6b/6BBd71e0FF7525854cA17f9324Cd649f1dE08FEC_SweepsToken.sol,8,78,86,53,5,459,335,55
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/fc/fc6e284605ad1604b8c33066cf8265070a59fe46_Proxy_0_5.sol,5,33,20,21,1,204,82,97
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/77/77700c746fde1289b5cb12cdeb6d34c2e71e0777_Multipliers.sol,1,17,65,17,5,376,203,125
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/18/1895915e291CA29084Cb5beE89E54f462dE84Ea0_D4ARoyaltySplitterFactory.sol,16,143,58,140,5,1452,755,565
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/ff/ffb328ad3b727830f9482845a4737afddde85554_Proxy_0_8.sol,5,37,18,52,2,356,147,167
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/b7/b75e0b03a116ec81ef8c45ddce8a2e049dd5216e_FlairDrop.sol,8,62,58,24,5,256,170,42
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/32/32e4c68b3a4a813b710595aeba7f6b7604ab9c15_LoanToken.sol,13,93,41,50,2,660,299,276
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/ef/ef854fb73815517b06acbb2889a97aedae6bdc72_LoanToken.sol,13,93,41,50,2,656,296,276
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/93/93B02EE3132D10c938dd178C03a66595154f2940_Proxy.sol,5,36,20,46,2,320,124,158
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/f7/f748a20ef5be9d6145a6a8e4297e5652df82ffc8_Wallet.sol,6,14,9,4,3,71,52,7
/home/wangzexu/pdg_-se/pdg_patch/input/mainnet/6a/6af6fe2c29984db4e6c7cfa4092a067644794130_Migrator.sol,2,4,0,2,4,40,31,0
,7.3125,48.8125,36.8125,38.125,3.9375,389.5,217.875,120.25
