Asset,Total Count,Total Value (USD)
0chain,10,1.58
0x,34.96582647,22.74
0x,7.581646207,4.93
0x,39.62164621,25.77
0x,0.032471725,0.02
0x410e3e86ef427e30b9235497143881f717d93c2a,0.022256672,0
0x5b5cfe992adac0c9d48e05854b2d91c73a003858,5032.234013,0
0x94e131324b6054c0d789b190b2dac504e4361b53,223177.8753,0
0xa3d87fffce63b53e0d54faa1cc983b7eb0b74a9c,0.0045859,0
0xbtc,2.59799999,0.3
0xbtc,1071.388698,122.66
0xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf,12.212829,0
0xde5331ac4b3630f94853ff322b66407e0d6331e8,0.087500016,0
1inch,29.1817994,15.82
1inch,26.6994376,14.48
aave,0.119226816,13.59
aave-usdc-v1,5.50E-05,0
acent,45,0.39
aelf,3,1.73
aelf,19.13235858,11.01
aeternity,209.9916,7.77
aeternity,209.9916,7.77
ageur,3.51E-14,0
agrello-delta,14.13454338,0
agrello-delta,14.13454338,0
agrello-delta,14.13454338,0
airtor-protocol,171956.2008,519307.73
ai-x,1.02E+12,0
akita-inu,2866278904,687.91
aladdin-dao,197327.1833,12577.63
alchemix,0.161200357,4.88
all-in,8643.576632,12706.06
alpha-quark-token,1,1.68
alpha-quark-token,147.0896957,247.11
amaterasu-omikami,369,0.75
amaterasu-omikami,369,0.75
american-shiba,8.20E+13,0
ankr,549.364307,31.26
ankr,541.3469689,30.81
ankr,1090.711276,62.07
apex-token-2,17710115.84,57203674.16
apex-token-2,17706117.3,57190758.88
api3,61699341.24,202077460.9
apm-coin,5,0.04
arpa,7029170.415,611298.83
asap-sniper-bot,3698020.26,1403.07
atari,150,0.37
auctus,92599650,122819.55
audius,10,2.62
aura-bal,0.00112419,0.01
aura-finance,0.00581427,0
aurora,15,0
aurora,10,0
aurora,5,0
aurora,24,0
axl-inu,1747556083,50679.13
azuki,300,0.78
b20,8195.255592,827.11
baby-doge-coin,11455451064,0
balancer,760.7272025,3508.55
bancor,0.002,0
bancor,2.973961516,2.34
bancor,0.002,0
bank-btc,83599794239,0
banque-universal,160,29.87
basic-attention-token,44.7629082,12.9
basic-attention-token,0.297346515,0.09
basic-attention-token,0.29572,0.09
basic-attention-token,0.29572,0.09
basis-cash,0.000695814,0
bella-protocol,100,101.4
benddao,1,0
beyond-protocol,250000,222.04
bezoge-earth,1.05E+11,0
bezoge-earth,1.05E+11,0
binance-coin,0.01598804,8.83
binance-coin,0.01598804,8.83
binance-coin,0.01798804,9.93
binance-usd,10.7534606,10.75
binance-usd,100,100
binance-usd,97.77556,97.78
bitball-treasure,1.45E-05,0
bitclave,1,0
bitclave,1,0
bitclave,3,0
bitclave,5,0
blind-boxes,102145.8918,393.46
blitzpredict,1371.735317,0.16
blitzpredict,1371.735317,0.16
blockbank,30091.95371,48.37
blockchain-cuties-universe-governance,93810.46137,5477.59
blocks,225884.0939,69.09
blocks,400,0.12
blocks,100,0.03
boba-network,14656.5901,7650.15
bobs-repair,2407.889,6.37
bone-shibaswap,0.16162648,0.12
boringdao,97880.39729,551.66
bottos,4,0
bottos,4,0
bzx-protocol,0.000108973,0
cake-ape-usdt-0xb27c7b131cf4915bec6c4bc1ce2f33f9ee434b9f,0.004780476,16030.83
cake-apw-weth-0x53162d78dca413d9e28cf62799d17a9e278b60e8,115.7069159,24636.63
cake-bit-weth-0xe12af1218b4e9272e9628d7c7dc6354d137d024e,3257.973728,484648.67
cake-bmi-weth-0x53813285cc60b13fcd2105c6472a47af01f8ac84,4044.253314,44794.32
cake-cig-weth-0x7c5bbe30b5b1c1abaa9e1ee32e04a81a2b20a052,5857.97954,9361.94
cake-cig-weth-0x7c5bbe30b5b1c1abaa9e1ee32e04a81a2b20a052,5857.97954,9361.94
