Asset,Total Count,Total Value (USD)
0xb299751b088336e165da313c33e3195b8c6663a6_ethereum,47.13075696,30.07163809
0xbtc,0.01772747,0.002029512
1inch,7.43,4.02863516
1inch,7.43,4.02863516
a3s,0.002343267,0.001292553
aave,0.924036494,105.3224323
aavegotchi,0.2870786,0.872718944
aavegotchi,0.135796076,0.412820071
aave-usdc,0.040446,0.040403774
aave-usdc,500.013842,499.4918275
aave-v3-aave,3.75E-05,0.004298625
aave-v3-dai,0.097246649,0.097234104
aave-v3-link,0.025585781,0.452868324
aave-v3-susd,0.006233667,0
aave-v3-usdc,8.059255,8.058876215
aave-v3-usdc-e,26.885744,26.885744
aave-v3-usdt,38.163464,38.15419028
aave-v3-wbtc,0.00010259,6.7134896
aave-v3-weth,0.002590159,8.405687593
abachi-2,0.166724908,0.251754611
acid,0.084829483,23.06768131
across-protocol,78.01198195,20.7739667
acryptos-2,0.604406304,0.430341519
adadao,0.0001,2.54E-07
adv3nture-xyz-gemstone,0.48083174,0.000763681
adv3nture-xyz-gold,8.621584275,4.75E-05
adventurer-gold,0.03271175,0.000406516
aeggs,6.95E-13,2.78E-20
aelin,2.92E-08,1.12E-05
ageur,60.84605616,65.2269722
ai-code,10.16035977,17.27261161
aicore,0.143051435,0.216007667
aiearn,0.400999985,9.62E-07
aienglish,7338198577,0
aishiba,286002745.7,0
aiswap,17.84827866,0
aiswap,36.1601943,0
ai-trader,100000,166.909
ai-trader,200000,333.818
alchemix-eth,0.000163952,0.495279318
alchemix-usd,0.119828928,0.118974668
alienfi,2.997229251,0.036666814
alongside-crypto-market-index,1.18E-06,0.000240295
alpaca-finance,4.07E-09,9.25E-10
alpaca-finance,4.07E-09,9.25E-10
alpha-finance,3.65E-09,5.08E-10
alpha-finance,3.65E-09,5.08E-10
alphascan,22.73753141,2.036941751
altitude,3006.955014,16.88290976
alt-markets,741.813147,0.294863308
american-shiba,120217730.3,0
angry-birds,0.443422,0.000165445
angry-birds,0.389624,0.000145373
angry-birds,0.476181,0.000177668
anima,12.08617276,0
ankreth,1.42E-05,0.05297097
any-inu,119998.0233,5.620707411
anyswap,4,8.28
anyswap,1,2.07
anyswap,2,4.14
apex-token-2,21.03766559,67.95165986
arable-protocol,40.03548219,0.008721329
arbdoge-ai,3.45E+11,0
arbidoge,226757960.9,111.1114008
arbinyan,4527.301238,23.85548205
arbipad,12953.64834,2.927006379
