id_discussion,title,link,score,answer_count,view_count,creation_date,tags,Category
68450242,I want to know causing a solana transfer error,https://stackoverflow.com/questions/68450242/i-want-to-know-causing-a-solana-transfer-error,10,2,29234,2021/7/20 14:06,solana,Corrective
69860302,TypeError: Cannot read properties of undefined (reading &#39;path&#39;),https://stackoverflow.com/questions/69860302/typeerror-cannot-read-properties-of-undefined-reading-path,3,3,22742,2021/11/6 7:34,"node.js, solana, nft",Corrective
72378647,spl-token: error while loading shared libraries: libssl.so.1.1: cannot open shared object file: No such file or directory,https://stackoverflow.com/questions/72378647/spl-token-error-while-loading-shared-libraries-libssl-so-1-1-cannot-open-shar,5,1,12609,2022/5/25 21:34,"ubuntu, unix, rust, solana, libssl",Corrective
71930329,Transaction simulation failed: Error processing Instruction 0: custom program error: 0x0,https://stackoverflow.com/questions/71930329/transaction-simulation-failed-error-processing-instruction-0-custom-program-er,0,2,9288,2022/4/20 3:29,"javascript, reactjs, rust, solana",Corrective
68599747,rust solana build error: no such subcommand: +bpf,https://stackoverflow.com/questions/68599747/rust-solana-build-error-no-such-subcommand-bpf,16,1,8731,2021/7/31 14:33,"rust, rust-cargo, parrot-os, solana",Corrective
67898431,error[E0463]: can&#39;t find crate for `core` while building rust project for wasm32-unknown-unknown,https://stackoverflow.com/questions/67898431/errore0463-cant-find-crate-for-core-while-building-rust-project-for-wasm32,9,1,8707,2021/6/9 14:04,"rust, compilation, webassembly, rust-cargo, wasm-bindgen",Corrective
60349051,&quot;RuntimeError : Memory access out of bounds&quot; when trying to save a string in Wasm heap and then saving the pointer to the string in a struct,https://stackoverflow.com/questions/60349051/runtimeerror-memory-access-out-of-bounds-when-trying-to-save-a-string-in-was,0,2,8617,2020/2/22 12:29,"rust, webassembly, wasm-bindgen, wasm-pack, docx-wasm",Corrective
70820082,Module not found: Error: Can&#39;t resolve &#39;crypto&#39; in &#39;C:\,https://stackoverflow.com/questions/70820082/module-not-found-error-cant-resolve-crypto-in-c,2,1,8100,2022/1/23 15:42,"javascript, reactjs, webpack, solana",Corrective
71275021,Error encountered could not complete yarn install of substrate front end template,https://stackoverflow.com/questions/71275021/error-encountered-could-not-complete-yarn-install-of-substrate-front-end-templat,9,2,6766,2022/2/26 16:04,"node.js, blockchain, substrate, polkadot",Corrective
68895081,How to solve Transaction simulation failed: Error processing Instruction during a solana blockchain transaction?,https://stackoverflow.com/questions/68895081/how-to-solve-transaction-simulation-failed-error-processing-instruction-during,5,1,6673,2021/8/23 23:18,"node.js, nodes, blockchain, solana",Corrective
68940096,Solana what is a good zero value address or default address?,https://stackoverflow.com/questions/68940096/solana-what-is-a-good-zero-value-address-or-default-address,3,1,6321,2021/8/26 22:06,solana,Corrective
71721805,Debugging &quot;Transaction simulation failed&quot; when sending program instruction (Solana Solidity),https://stackoverflow.com/questions/71721805/debugging-transaction-simulation-failed-when-sending-program-instruction-sola,4,1,6111,2022/4/3 7:09,"solidity, solana, solana-web3js, phantom-wallet",Corrective
71167338,"Solana airdrop error, need help to fix my problem",https://stackoverflow.com/questions/71167338/solana-airdrop-error-need-help-to-fix-my-problem,7,7,5420,2022/2/18 9:15,"blockchain, smartcontracts, solana, solana-cli",Corrective
71705996,error: failed to run custom build command for `openssl-sys v0.9.72` using Rust/Anchor,https://stackoverflow.com/questions/71705996/error-failed-to-run-custom-build-command-for-openssl-sys-v0-9-72-using-rust-a,5,2,5146,2022/4/1 19:11,"rust, build, openssl, solana, manjaro",Corrective
71560855,error[E0412]: cannot find type `ProgramResult` in this scope,https://stackoverflow.com/questions/71560855/errore0412-cannot-find-type-programresult-in-this-scope,4,2,4609,2022/3/22 0:25,"rust, blockchain, smartcontracts, solana, anchor-solana",Corrective
72218827,My Javascript file won&#39;t run because of bigint error,https://stackoverflow.com/questions/72218827/my-javascript-file-wont-run-because-of-bigint-error,4,1,4563,2022/5/13 0:04,"javascript, npm, solana, metaplex",Corrective
70922291,403 error with axios but works on postman and browser,https://stackoverflow.com/questions/70922291/403-error-with-axios-but-works-on-postman-and-browser,3,2,4430,2022/1/31 15:07,"browser, axios, postman, solana",Corrective
68698895,Why do I get a build error for the resolver feature when I have up to date rustc and cargo version?,https://stackoverflow.com/questions/68698895/why-do-i-get-a-build-error-for-the-resolver-feature-when-i-have-up-to-date-rustc,7,2,4430,2021/8/8 16:05,"rust, rust-cargo, solana",Corrective
57972355,Enable a Cargo feature by default when the target arch is WASM?,https://stackoverflow.com/questions/57972355/enable-a-cargo-feature-by-default-when-the-target-arch-is-wasm,9,1,4245,2019/9/17 18:29,"rust, rust-cargo, wasm-bindgen",Corrective
73305219,Why Error: Signature verification failed?,https://stackoverflow.com/questions/73305219/why-error-signature-verification-failed,0,1,4146,2022/8/10 19:08,"typescript, testing, solana, solana-web3js, anchor-solana",Corrective
70407063,Error processing Instruction 0: Failed to serialize or deserialize account data: Unknown,https://stackoverflow.com/questions/70407063/error-processing-instruction-0-failed-to-serialize-or-deserialize-account-data,1,1,3937,2021/12/19 4:53,"typescript, rust, blockchain, solana",Corrective
70583441,My Token.createMintToInstruction is throwing &quot;Error processing instruction 0: invalid account data for instruction&quot;,https://stackoverflow.com/questions/70583441/my-token-createminttoinstruction-is-throwing-error-processing-instruction-0-in,1,1,3900,2022/1/5 2:25,solana,Corrective
70484057,What is &quot;Custom Program Error 0xa7&quot; in anchor?,https://stackoverflow.com/questions/70484057/what-is-custom-program-error-0xa7-in-anchor,1,1,3803,2021/12/26 11:36,"anchor, solana, anchor-solana",Corrective
71899676,Anchor: Solana Account Initialization Issue,https://stackoverflow.com/questions/71899676/anchor-solana-account-initialization-issue,2,2,3628,2022/4/17 14:02,"rust, anchor, solana",Corrective
70587929,Anchor: Error when trying to initialize a program derived account (PDA),https://stackoverflow.com/questions/70587929/anchor-error-when-trying-to-initialize-a-program-derived-account-pda,3,2,3580,2022/1/5 12:50,"solana, anchor-solana",Corrective
71937822,Anchor build error versions of anchor-spl and anchor-lang,https://stackoverflow.com/questions/71937822/anchor-build-error-versions-of-anchor-spl-and-anchor-lang,0,6,3391,2022/4/20 18:10,"rust, anchor, rust-cargo, solana",Corrective
70658572,Error loading workspace IDL for Solana Anchor Testing,https://stackoverflow.com/questions/70658572/error-loading-workspace-idl-for-solana-anchor-testing,10,4,3327,2022/1/11 4:33,"typescript, solana, solana-web3js, anchor-solana",Corrective
70706327,Error: Cannot find module &#39;./candy-machine-cli.ts&#39;,https://stackoverflow.com/questions/70706327/error-cannot-find-module-candy-machine-cli-ts,3,3,3311,2022/1/14 13:24,"node.js, visual-studio-code, npm, solana, nft",Corrective
70987634,Solana Anchor Error: failed to send transaction: invalid transaction: Transaction failed to sanitize accounts offsets correctly,https://stackoverflow.com/questions/70987634/solana-anchor-error-failed-to-send-transaction-invalid-transaction-transactio,2,3,3295,2022/2/4 22:02,"rust, anchor, solana",Corrective
70437644,Error: Custom: Invalid blockhash when solana program deploy,https://stackoverflow.com/questions/70437644/error-custom-invalid-blockhash-when-solana-program-deploy,7,8,3251,2021/12/21 23:12,"blockchain, solana",Corrective
72264623,Can&#39;t import the named export &#39;PublicKey&#39; from non EcmaScript module (only default export is available),https://stackoverflow.com/questions/72264623/cant-import-the-named-export-publickey-from-non-ecmascript-module-only-defau,4,1,3154,2022/5/17 3:27,"web3js, solana, solana-web3js, metaplex, candy-machine",Corrective
70483200,Solana/Rust minting error: Transaction simulation failed: Error processing Instruction 0: custom program error: 0x3,https://stackoverflow.com/questions/70483200/solana-rust-minting-error-transaction-simulation-failed-error-processing-instr,0,1,3022,2021/12/26 6:43,solana,Corrective
71945564,anchor test command error - Error: Cannot find module &#39;[@project-serum/anchor] &#39; Please verify that the package.json has a valid &quot;main&quot; entry,https://stackoverflow.com/questions/71945564/anchor-test-command-error-error-cannot-find-module-project-serum-anchor,1,3,2839,2022/4/21 4:03,"javascript, solana-web3js, anchor-solana",Corrective
55786404,How to handle Rust&#39;s errors from Result as a return value instead of throwing an exception in JavaScript?,https://stackoverflow.com/questions/55786404/how-to-handle-rusts-errors-from-result-as-a-return-value-instead-of-throwing-an,3,0,2774,2019/4/22 4:15,"rust, webassembly, wasm-bindgen",Corrective
69251067,getting an error &quot;SyntaxError: Unexpected string&quot; near the import statement working with ts-node-dev,https://stackoverflow.com/questions/69251067/getting-an-error-syntaxerror-unexpected-string-near-the-import-statement-work,2,2,2729,2021/9/20 16:11,"node.js, typescript, ts-node, polkadot-js, ts-node-dev",Corrective
69280753,Solana React TypeError: this.wallet.signTransaction is not a function,https://stackoverflow.com/questions/69280753/solana-react-typeerror-this-wallet-signtransaction-is-not-a-function,2,2,2707,2021/9/22 16:33,"reactjs, solana",Corrective
73465599,Rust Wasm constructor - Uncaught TypeError: Cannot read properties of undefined,https://stackoverflow.com/questions/73465599/rust-wasm-constructor-uncaught-typeerror-cannot-read-properties-of-undefined,4,1,2690,2022/8/24 6:21,"typescript, rust, webassembly, wasm-bindgen, wasm-pack",Corrective
70176619,Error processing Instruction 1 when deploying Solana program?,https://stackoverflow.com/questions/70176619/error-processing-instruction-1-when-deploying-solana-program,5,1,2661,2021/12/1 5:55,solana,Corrective
68124332,I notice when I try and use Borsh to serialize/deserialize I&#39;ll get errors,https://stackoverflow.com/questions/68124332/i-notice-when-i-try-and-use-borsh-to-serialize-deserialize-ill-get-errors,5,1,2640,2021/6/25 9:23,"serialization, blockchain, solana",Corrective
72467816,How can I correctly declare the program id inside a Solana program?,https://stackoverflow.com/questions/72467816/how-can-i-correctly-declare-the-program-id-inside-a-solana-program,1,1,2437,2022/6/2 4:41,"solana, anchor-solana",Corrective
69584916,How do I fix this error when creating a candy machine with metaplex?,https://stackoverflow.com/questions/69584916/how-do-i-fix-this-error-when-creating-a-candy-machine-with-metaplex,0,3,2284,2021/10/15 20:41,"visual-studio-code, solana, unhandled-promise-rejection, metaplex",Corrective
72061535,Getting this error message while installing solana: error: failed to run custom build command for `prost-build v0.10.1`,https://stackoverflow.com/questions/72061535/getting-this-error-message-while-installing-solana-error-failed-to-run-custom,4,1,2255,2022/4/30 1:15,"solana, solana-cli",Corrective
71718611,Downloading solana dev tools error: &quot;curl: (35) schannel: next InitializeSecurityContext failed: Unknown error (0x80092012)&quot;,https://stackoverflow.com/questions/71718611/downloading-solana-dev-tools-error-curl-35-schannel-next-initializesecurit,1,2,2240,2022/4/2 22:56,"curl, solana, certificate-revocation",Corrective
71743279,Attempted import error: &#39;Wallet&#39; is not exported from &#39;@project-serum/anchor&#39;,https://stackoverflow.com/questions/71743279/attempted-import-error-wallet-is-not-exported-from-project-serum-anchor,2,4,2208,2022/4/5 4:15,"reactjs, typescript, next.js, solana",Corrective
47978722,Missing C++ std library methods and other errors while compiling EOS on Ubuntu 14.04?,https://stackoverflow.com/questions/47978722/missing-c-std-library-methods-and-other-errors-while-compiling-eos-on-ubuntu-1,3,2,2199,2017/12/26 20:32,"c++, ubuntu, std, eos",Corrective
62182080,Compiling C++ library to wasm using clang failed with &#39;stdlib.h&#39; file not found error,https://stackoverflow.com/questions/62182080/compiling-c-library-to-wasm-using-clang-failed-with-stdlib-h-file-not-found,5,1,2141,2020/6/4 4:22,"c, rust, clang, wasm-pack, webassembly",Corrective
68245811,"Rust, OpenSSL, solana-test-validator library not loaded issue",https://stackoverflow.com/questions/68245811/rust-openssl-solana-test-validator-library-not-loaded-issue,6,2,2115,2021/7/4 22:39,"macos, rust, openssl, homebrew, solana",Corrective
71143646,"SOLANA sendAndConfirmTransaction and sendTransaction ERROR ( unexpected type, use Uint8Array)",https://stackoverflow.com/questions/71143646/solana-sendandconfirmtransaction-and-sendtransaction-error-unexpected-type-us,0,1,2086,2022/2/16 22:26,"solana, uint8array",Corrective
72022128,Solana/Anchor error: (yanked dependencies) Failed to obtain package metadata: `cargo metadata` exited with an error: Updating crates.io index,https://stackoverflow.com/questions/72022128/solana-anchor-error-yanked-dependencies-failed-to-obtain-package-metadata-c,0,1,2056,2022/4/27 8:54,"rust, smartcontracts, rust-cargo, solana, anchor-solana",Corrective
68055581,Nextjs 11 new use of import keyword for image &#39;src&#39; throwing error CompileError: mutable globals cannot be exported,https://stackoverflow.com/questions/68055581/nextjs-11-new-use-of-import-keyword-for-image-src-throwing-error-compileerror,4,1,2023,2021/6/20 19:54,"reactjs, next.js, nextjs-image, wasm-pack",Corrective
71168443,Instruction 0: incorrect program id for instruction. Works on devnet but not mainnet,https://stackoverflow.com/questions/71168443/instruction-0-incorrect-program-id-for-instruction-works-on-devnet-but-not-mai,2,2,1985,2022/2/18 12:40,"javascript, solana, solana-web3js",Corrective
73831271,ERROR cargo build sbf Failed to obtain package metadata: `cargo metadata` exited with an error: error: failed to load manifest for workspace member,https://stackoverflow.com/questions/73831271/error-cargo-build-sbf-failed-to-obtain-package-metadata-cargo-metadata-exited,0,1,1977,2022/9/24 1:44,"rust, anchor, rust-cargo, solana, anchor-solana",Corrective
59259989,wasm-pack build report error: could not compile `net2`,https://stackoverflow.com/questions/59259989/wasm-pack-build-report-error-could-not-compile-net2,4,1,1957,2019/12/10 11:56,"rust, wasm-bindgen",Corrective
59093079,issue with emsdk on mac,https://stackoverflow.com/questions/59093079/issue-with-emsdk-on-mac,2,2,1938,2019/11/29 0:28,"python, wasm-pack, emsdk",Corrective
70317700,"Solana candy machine upload assets Error: memory allocation failed, out of memory",https://stackoverflow.com/questions/70317700/solana-candy-machine-upload-assets-error-memory-allocation-failed-out-of-memor,0,3,1890,2021/12/12 2:03,"solana, metaplex, candy-machine",Corrective
71072221,How to transfer custom SPL Token (USDC) using @Solana\web3.js (amount issues),https://stackoverflow.com/questions/71072221/how-to-transfer-custom-spl-token-usdc-using-solana-web3-js-amount-issues,2,1,1877,2022/2/11 5:01,"transactions, token, transfer, solana, spl",Corrective
64371821,Error Connecting to Substrate: Unable to initialize the API: createType(StorageKey):: Derived,https://stackoverflow.com/questions/64371821/error-connecting-to-substrate-unable-to-initialize-the-api-createtypestoragek,3,1,1860,2020/10/15 20:41,"api, substrate, polkadot, polkadot-js",Corrective
70314459,Solana start solana-test-validator on Linux / Ubuntu blockstore error,https://stackoverflow.com/questions/70314459/solana-start-solana-test-validator-on-linux-ubuntu-blockstore-error,1,1,1855,2021/12/11 18:44,"solana, solana-cli",Corrective
75369804,Type Error Cannot read properties of undefined (reading &#39;Web3Provider&#39;) at fetchingData,https://stackoverflow.com/questions/75369804/type-error-cannot-read-properties-of-undefined-reading-web3provider-at-fetch,0,1,1807,2023/2/7 14:55,"reactjs, react-hooks, solana, web3-react",Corrective
72018671,429 issues on Solana/metaplex,https://stackoverflow.com/questions/72018671/429-issues-on-solana-metaplex,0,1,1788,2022/4/27 2:13,"solana, solana-web3js, metaplex, solana-program-library",Corrective
