id_discussion,title,link,score,answer_count,view_count,creation_date,tags,Category
69848319,Unable to specify `edition2021` in order to use unstable packages in Rust,https://stackoverflow.com/questions/69848319/unable-to-specify-edition2021-in-order-to-use-unstable-packages-in-rust,43,5,23975,2021/11/5 11:15,"rust, substrate, polkadot",Uncategorized
69245982,Import phantom wallet private key into solana CLI,https://stackoverflow.com/questions/69245982/import-phantom-wallet-private-key-into-solana-cli,23,3,20454,2021/9/20 2:22,"solana, solana-cli",Uncategorized
59550963,Multithreading in WebAssembly,https://stackoverflow.com/questions/59550963/multithreading-in-webassembly,10,1,16448,2020/1/1 16:18,"multithreading, emscripten, webassembly, wasm-bindgen",Uncategorized
68236211,How to transfer custom token by &#39;@solana/web3.js&#39;,https://stackoverflow.com/questions/68236211/how-to-transfer-custom-token-by-solana-web3-js,20,3,15810,2021/7/3 20:20,solana,Uncategorized
68849313,I can not deploy the program to dev net with anchor,https://stackoverflow.com/questions/68849313/i-can-not-deploy-the-program-to-dev-net-with-anchor,10,4,12507,2021/8/19 22:00,"blockchain, smartcontracts, solana, anchor-solana",Uncategorized
68989348,Solana : Adding Sollet / Phantom Wallet Connect to my website - Steps?,https://stackoverflow.com/questions/68989348/solana-adding-sollet-phantom-wallet-connect-to-my-website-steps,9,3,12401,2021/8/31 3:22,"wallet, solana",Uncategorized
68166964,How can you transfer SOL using the web3.js sdk for Solana?,https://stackoverflow.com/questions/68166964/how-can-you-transfer-sol-using-the-web3-js-sdk-for-solana,12,2,11341,2021/6/29 0:30,"javascript, web3js, solana",Uncategorized
52796222,How to pass an array of objects to WebAssembly and convert it to a vector of structs with wasm-bindgen?,https://stackoverflow.com/questions/52796222/how-to-pass-an-array-of-objects-to-webassembly-and-convert-it-to-a-vector-of-str,22,1,10019,2018/10/14 2:52,"rust, webassembly, serde, wasm-bindgen",Uncategorized
70717996,Blockhash not found when sending transaction,https://stackoverflow.com/questions/70717996/blockhash-not-found-when-sending-transaction,4,4,9955,2022/1/15 8:40,"javascript, blockchain, smartcontracts, solana, solana-web3js",Uncategorized
70460035,Minting NFTs in Solana. Transaction fees,https://stackoverflow.com/questions/70460035/minting-nfts-in-solana-transaction-fees,8,4,9615,2021/12/23 17:23,"solana, candy-machine, solana-web3js",Uncategorized
69248618,How to get proper public address from mnemonic phrase for Solana?,https://stackoverflow.com/questions/69248618/how-to-get-proper-public-address-from-mnemonic-phrase-for-solana,10,2,9587,2021/9/20 10:47,"javascript, blockchain, seed, mnemonics, solana",Uncategorized
68646684,can&#39;t install cargo wasm-pack,https://stackoverflow.com/questions/68646684/cant-install-cargo-wasm-pack,15,2,9549,2021/8/4 14:56,"rust, openssl, webassembly, rust-cargo, wasm-pack",Uncategorized
70597753,How to find all NFTs minted from a v2 candy machine,https://stackoverflow.com/questions/70597753/how-to-find-all-nfts-minted-from-a-v2-candy-machine,9,1,9015,2022/1/6 2:19,"solana, nft, metaplex, solana-cli, solana-web3js",Uncategorized
68215033,I would like to mint a new token on solana. How can I do this using solana-web3.js?,https://stackoverflow.com/questions/68215033/i-would-like-to-mint-a-new-token-on-solana-how-can-i-do-this-using-solana-web3,10,2,8713,2021/7/2 2:06,"javascript, solana",Uncategorized
69174931,Sending solana transactions with python,https://stackoverflow.com/questions/69174931/sending-solana-transactions-with-python,3,1,8586,2021/9/14 17:04,"python, solana",Uncategorized
69983608,How to install Solana on Windows?,https://stackoverflow.com/questions/69983608/how-to-install-solana-on-windows,5,6,8525,2021/11/16 12:02,solana,Uncategorized
70654438,Transaction simulation failed: Attempt to debit an account but found no record of a prior credit,https://stackoverflow.com/questions/70654438/transaction-simulation-failed-attempt-to-debit-an-account-but-found-no-record-o,6,1,8435,2022/1/10 23:01,"solana, candy-machine",Uncategorized
69382867,How do I get list of tokens owned by me?,https://stackoverflow.com/questions/69382867/how-do-i-get-list-of-tokens-owned-by-me,9,2,8324,2021/9/30 4:18,"json, solana",Uncategorized
69700173,Solana check all spl token balances of a wallet,https://stackoverflow.com/questions/69700173/solana-check-all-spl-token-balances-of-a-wallet,6,3,8320,2021/10/25 3:39,"javascript, node.js, solana",Uncategorized
69701543,How do I load my Solana wallet using my private key file?,https://stackoverflow.com/questions/69701543/how-do-i-load-my-solana-wallet-using-my-private-key-file,6,3,8300,2021/10/25 7:39,"blockchain, smartcontracts, private-key, solana",Uncategorized
69523948,Solana - How to get the balance from my Phantom wallet?,https://stackoverflow.com/questions/69523948/solana-how-to-get-the-balance-from-my-phantom-wallet,7,3,8277,2021/10/11 17:28,"javascript, blockchain, smartcontracts, solana, phantom-wallet",Uncategorized
70406575,What is &quot;Signature Verification Failed&quot; in Solana?,https://stackoverflow.com/questions/70406575/what-is-signature-verification-failed-in-solana,7,3,8106,2021/12/19 3:44,"javascript, solana",Uncategorized
69432084,How to decode a solana transaction?,https://stackoverflow.com/questions/69432084/how-to-decode-a-solana-transaction,5,2,7970,2021/10/4 15:07,"cryptocurrency, solana",Uncategorized
71200948,How can I validate a Solana wallet address with web3js?,https://stackoverflow.com/questions/71200948/how-can-i-validate-a-solana-wallet-address-with-web3js,7,5,7873,2022/2/21 11:37,"typescript, web3js, solana",Uncategorized
66758210,failed to run custom build command for `ring v0.16.12`,https://stackoverflow.com/questions/66758210/failed-to-run-custom-build-command-for-ring-v0-16-12,9,0,7775,2021/3/23 14:24,"rust, blockchain, rust-cargo, apple-m1, solana",Uncategorized
71060637,how to generate keypair from secret phrase (mnemonic) SOLANA,https://stackoverflow.com/questions/71060637/how-to-generate-keypair-from-secret-phrase-mnemonic-solana,2,2,7629,2022/2/10 14:25,"javascript, node.js, reactjs, blockchain, solana",Uncategorized
68997169,Solana Anchor Rust: How to convert a public key into an AccountInfo type,https://stackoverflow.com/questions/68997169/solana-anchor-rust-how-to-convert-a-public-key-into-an-accountinfo-type,12,2,7568,2021/8/31 18:36,"rust, solana",Uncategorized
69152527,Code sample for parsing metadata for Solana NFT and updating the metadata,https://stackoverflow.com/questions/69152527/code-sample-for-parsing-metadata-for-solana-nft-and-updating-the-metadata,3,1,7454,2021/9/12 22:52,"nft, solana, tokenmetadataprogram, metaplex",Uncategorized
69546971,How to properly transfer Solana SOL using web3js via Phantom,https://stackoverflow.com/questions/69546971/how-to-properly-transfer-solana-sol-using-web3js-via-phantom,7,3,7344,2021/10/13 5:00,"javascript, web3js, solana",Uncategorized
68913872,@solana/web3.js Is there an API for ERC721 Metadata?,https://stackoverflow.com/questions/68913872/solana-web3-js-is-there-an-api-for-erc721-metadata,4,3,6969,2021/8/25 4:43,"token, metadata, web3js, solana",Uncategorized
69833550,solana: command not found,https://stackoverflow.com/questions/69833550/solana-command-not-found,1,1,6269,2021/11/4 9:27,"validation, ubuntu, solana",Uncategorized
53964281,How to create a function returning a borrowed value?,https://stackoverflow.com/questions/53964281/how-to-create-a-function-returning-a-borrowed-value,4,2,6165,2018/12/29 5:06,"rust, wasm-bindgen",Uncategorized
69014052,How can I sign my solana transaction which runs with node JS script with existing wallet?,https://stackoverflow.com/questions/69014052/how-can-i-sign-my-solana-transaction-which-runs-with-node-js-script-with-existin,1,2,6137,2021/9/1 20:48,"node.js, web3js, solana",Uncategorized
69900783,How to get Metadata from a Token adress using web3 js on SOLANA,https://stackoverflow.com/questions/69900783/how-to-get-metadata-from-a-token-adress-using-web3-js-on-solana,8,3,5968,2021/11/9 23:26,"reactjs, jsx, token, solana, solana-web3js",Uncategorized
72305697,as-pect.config.js is treated as an ES module file as it is a .js file whose nearest parent package.json contains &quot;type&quot;: &quot;module&quot;,https://stackoverflow.com/questions/72305697/as-pect-config-js-is-treated-as-an-es-module-file-as-it-is-a-js-file-whose-near,1,1,5906,2022/5/19 21:44,"node.js, webassembly, nearprotocol, aspect, near",Uncategorized
71200670,How can I see the contract code in Solana?,https://stackoverflow.com/questions/71200670/how-can-i-see-the-contract-code-in-solana,2,1,5819,2022/2/21 10:43,"solana, solana-web3js",Uncategorized
69647006,Solana blockchain. How can i generate private key?,https://stackoverflow.com/questions/69647006/solana-blockchain-how-can-i-generate-private-key,1,3,5711,2021/10/20 21:34,"javascript, blockchain, private, private-key, solana",Uncategorized
70028880,I would like to get all transactions given an address,https://stackoverflow.com/questions/70028880/i-would-like-to-get-all-transactions-given-an-address,0,3,5675,2021/11/19 9:49,"python, api, blockchain, solana",Uncategorized
68878330,"What is the seeds in creating account or finding the account in solana, and could the seeds be anything or be specific?",https://stackoverflow.com/questions/68878330/what-is-the-seeds-in-creating-account-or-finding-the-account-in-solana-and-coul,7,1,5382,2021/8/22 11:42,solana,Uncategorized
70528742,How to transfer SOL in anchor smart contract instruction,https://stackoverflow.com/questions/70528742/how-to-transfer-sol-in-anchor-smart-contract-instruction,3,5,5333,2021/12/30 15:43,"rust, solana, anchor-solana",Uncategorized
70753638,Is there a way to get transaction data from Solana blockchain live?,https://stackoverflow.com/questions/70753638/is-there-a-way-to-get-transaction-data-from-solana-blockchain-live,1,1,5250,2022/1/18 18:00,"solana, solana-web3js",Uncategorized
70724630,Getting address of a token account given a Solana wallet address,https://stackoverflow.com/questions/70724630/getting-address-of-a-token-account-given-a-solana-wallet-address,0,2,5238,2022/1/16 3:17,"solana, solana-web3js",Uncategorized
68007205,Cosmos SDK account sequence mismatch,https://stackoverflow.com/questions/68007205/cosmos-sdk-account-sequence-mismatch,2,1,5194,2021/6/17 1:04,"go, blockchain, gaia, cosmos-sdk",Uncategorized
50861074,ReactJS events - this.props.onSubmit(this.state....),https://stackoverflow.com/questions/50861074/reactjs-events-this-props-onsubmitthis-state,5,1,5040,2018/6/14 23:29,"reactjs, event-handling, react-props, eos",Uncategorized
72146492,Unable to execute &quot;trunk serve&quot;,https://stackoverflow.com/questions/72146492/unable-to-execute-trunk-serve,9,1,4961,2022/5/7 3:27,"rust, webassembly, wasm-bindgen, yew, trunk-rs",Uncategorized
71021177,Transaction Recent Blockhash Required - Phantom Wallet Solana,https://stackoverflow.com/questions/71021177/transaction-recent-blockhash-required-phantom-wallet-solana,3,2,4625,2022/2/7 23:33,solana,Uncategorized
69283863,How to create web3.Keypair object for Solana javascript API?,https://stackoverflow.com/questions/69283863/how-to-create-web3-keypair-object-for-solana-javascript-api,0,2,4550,2021/9/22 20:04,"javascript, solana",Uncategorized
